Aid,artist_name,info
K8vZ9175O90bos1,To Kill a Mockingbird,Let google for it together
K8vZ917pke0bos11,Sesame Street Live! Let's Party!,Let google for it together
K8vZ917G18Vbos15,Celtic Thunder,https://twitter.com/CelticThunder
K8vZ9179SdVbos16,Bikini Kill,https://en.wikipedia.org/wiki/Bikini_Kill
K8vZ917uFQVbos17,Michael Franti & Spearhead,https://www.youtube.com/user/FrantiV
K8vZ9171GR7bos18,Michael Bolton,https://www.youtube.com/user/MichaelBoltonVEVO
K8vZ9173vj7bos19,Ronny Chieng,Let google for it together
K8vZ917uNOfbos20,Ali Wong,Let google for it together
K8vZ917uABVbos21,Brad Williams,Let google for it together
K8vZ9175x_Vbos22,The Decemberists,https://www.youtube.com/user/TheDecemberists
K8vZ917KuW0bos23,KALEO,https://www.youtube.com/user/Kaleoofficial
K8vZ917G4b0bos26,Wale,https://twitter.com/Wale
K8vZ917uFpVbos28,David Foster,https://www.youtube.com/user/davidfoster
K8vZ91780o0bos29,Nick Cave & the Bad Seeds,Let google for it together
K8vZ917GEfVbos30,Get the Led Out,https://www.facebook.com/GetTheLedOut
K8vZ9173hY0bos31,Hatsune Miku,Let google for it together
K8vZ917GElfbos32,mewithoutYou,https://twitter.com/mewithoutYou
K8vZ917ppwfbos34,Mitchell Tenpenny,Let google for it together
K8vZ917G3QVbos35,The Airborne Toxic Event,https://www.youtube.com/user/airbornetoxicevent
K8vZ9171Gt7bos36,Kenny Loggins,https://www.youtube.com/user/KennyLogginsVEVO
K8vZ9171bqfbos38,Madness,https://www.youtube.com/user/MadtubeMTV
K8vZ9175t2Vbos39,Old Crow Medicine Show,https://www.youtube.com/user/oldcrowvideos
K8vZ917GF37bos40,Foals,https://www.youtube.com/user/wearefoals
K8vZ91714jfbos41,Bill Maher,{'id': 'a604fe10-801b-4787-b0b2-04f9ff2957dd'}
K8vZ917u_tVbos42,Nelson Freitas,https://www.youtube.com/user/magicfreitas
K8vZ917C1E0bos43,Tedeschi Trucks Band,https://www.youtube.com/user/tedeschitrucksvevo
K8vZ917ukdVbos44,Dirty Deeds,https://twitter.com/LetThereBeRock2
K8vZ9179MO7bos45,Summer: The Donna Summer Musical (Touring),Let google for it together
K8vZ91718i0bos46,Indigo Girls,https://twitter.com/indigo_girls
K8vZ9174QgVbos47,The Dirty Knobs,{'id': 'ef94d509-9448-4ed0-9912-93158f51aa9e'}
K8vZ91719f7bos48,Riverdance (Touring),Let google for it together
K8vZ9171KEVbos49,1964 a Tribute To the Beatles,Let google for it together
K8vZ91756sfbos50,Dane Cook,{'id': 'c5539100-4631-42d2-9766-3157ed0a4035'}
K8vZ917bSc0bos51,Raymond Arrieta,Let google for it together
K8vZ917GtFVbos52,The Fab Faux,https://en.wikipedia.org/wiki/The_Fab_Faux
K8vZ9174gLfbos54,My Dad Wrote A Porno,Let google for it together
K8vZ91722-7bos55,King Krule,https://www.youtube.com/user/kingkrulevideo
K8vZ917KEo7bos56,Taylor Tomlinson,Let google for it together
K8vZ9172cpfbos57,Rocket Man,{'id': '41b469c4-93e4-4766-8370-2f3922a26485'}
K8vZ9171DF0bos60,Dashboard Confessional,https://www.youtube.com/user/DashboardVEVO
K8vZ91719f7bos61,Riverdance (Touring),Let google for it together
K8vZ9171GN0bos62,Jackson Browne,https://twitter.com/SongsOfJBrowne
K8vZ9171uN0bos63,Tony Bennett,https://www.facebook.com/tonybennett
K8vZ917Gm77bos64,Voyage - a Journey Tribute,Let google for it together
K8vZ917oZl0bos67,Wardruna,Let google for it together
K8vZ91734Gfbos68,Dalton and the Sheriffs,Let google for it together
K8vZ917KOMfbos69,Hippie Sabotage,http://www.youtube.com/user/HippieSabotage
K8vZ9171aofbos71,Sawyer Brown,https://www.youtube.com/user/SawyerBrownMusic
K8vZ917Caq7bos72,Happy Together Tour,Let google for it together
K8vZ9175X4fbos75,Demetri Martin,Let google for it together
K8vZ9171FG7bos76,Violent Femmes,http://www.last.fm/music/Violent+Femmes
K8vZ9171Nr7bos77,Doug Stanhope,Let google for it together
K8vZ9172p30bos78,Zion & Lennox,Let google for it together
K8vZ91712CVbos80,Little River Band,https://www.youtube.com/user/LittleRiverBandVEVO
K8vZ91734Gfbos81,Dalton and the Sheriffs,Let google for it together
K8vZ917K_tVbos82,Car Seat Headrest,https://itunes.apple.com/gb/artist/id725086732
K8vZ9171JN0bos83,Colin Hay,https://www.youtube.com/user/colinhaytv
K8vZ9171B-0bos84,Kathleen Madigan,Let google for it together
K8vZ917uN8fbos86,Boston Gay Men's Chorus,Let google for it together
K8vZ917GQQ0bos87,Straight No Chaser,https://www.youtube.com/user/sncmusic
K8vZ9172SV0bos88,Chris Janson,https://twitter.com/janson_chris
K8vZ917uQifbos90,ABBA The Concert,{'id': '5b6b6df6-4ef3-4c2a-84e2-96f8b358d076'}
K8vZ917psrVbos91,Cat & Nat,Let google for it together
K8vZ917pc77bos92,Small Town Murder Podcast,Let google for it together
