Tid,Eid,price,amount,refund_policy
T1-Z7r9jZ1AeJeAb,Z7r9jZ1AeJeAb,100,02108,yes
T11-vv1AvZAqoGkenSzra,vv1AvZAqoGkenSzra,25.0,02215,yes
T15-vv1AvZA-gGkd6sosx,vv1AvZA-gGkd6sosx,39.0,02115,yes
T16-vv1AvZAqPGkeD7KSq,vv1AvZAqPGkeD7KSq,29.75,02116,yes
T17-vv177ZpdGkXV3U0v,vv177ZpdGkXV3U0v,39.0,03842,yes
T18-G5vVZpkKtD7mu,G5vVZpkKtD7mu,20.0,06382,yes
T19-vv1k7ZpkfeG7IQcl,vv1k7ZpkfeG7IQcl,30.0,02116,yes
T20-vv1AvZAqIGkd8CEPc,vv1AvZAqIGkd8CEPc,49.5,02116,yes
T21-vv1A8v98-GAGfn-0,vv1A8v98-GAGfn-0,27.0,02116,yes
T22-vv1AvZA-kGkdu9I6a,vv1AvZA-kGkdu9I6a,39.5,02116,yes
T23-vv1k7ZpA_sG7M38n,vv1k7ZpA_sG7M38n,27.5,02210,yes
T26-G5vVZpALYl0Qm,G5vVZpALYl0Qm,78.0,06355,yes
T28-vv1A8v9GkGAG4oU3,vv1A8v9GkGAG4oU3,39.0,02115,yes
T29-vv1AvZAOzGkd21bE-,vv1AvZAOzGkd21bE-,15.5,02215,yes
T30-vv177ZpeGkSywfa8,vv177ZpeGkSywfa8,29.0,03842,yes
T31-vv177Z4MGkzFhITf,vv177Z4MGkzFhITf,75.0,02215,yes
T32-vv1AvZA-PGkdn5Qk_,vv1AvZA-PGkdn5Qk_,25.0,02134,yes
T34-vv177ZpAGktxEo0J,vv177ZpAGktxEo0J,23.0,03842,yes
T35-vv177Z4UGkMHjz1i,vv177Z4UGkMHjz1i,25.0,02215,yes
T36-vv117ZpAQ7-KAp,vv117ZpAQ7-KAp,65.0,02865,yes
T38-vv1AvZAr7GkdFxPTE,vv1AvZAr7GkdFxPTE,50.0,02215,yes
T39-vv168vb_7vtZ72dad,vv168vb_7vtZ72dad,38.0,03842,yes
T40-vv1AvZAqPGkdBWJEv,vv1AvZAqPGkdBWJEv,25.0,02210,yes
T41-vv177Z4zGkDpvghX,vv177Z4zGkDpvghX,45.0,02116,yes
T42-vv177Z4UGkRlZIt4,vv177Z4UGkRlZIt4,35.0,02903,yes
T43-vv1AvZArdGkdvL4OR,vv1AvZArdGkdvL4OR,25.0,03249,yes
T44-vv1A8v9b-GACPM7c,vv1A8v9b-GACPM7c,15.0,01952,yes
T45-vv1k7Z4gZbG7TD_s,vv1k7Z4gZbG7TD_s,40.0,02111,yes
T46-vv16vZArv7SZACaa28,vv16vZArv7SZACaa28,40.0,02115,yes
T47-vv1AvZAOYGkduLPpP,vv1AvZAOYGkduLPpP,35.0,02134,yes
T48-vv177Z40GkMov4mn,vv177Z40GkMov4mn,25.0,02116,yes
T49-vv1A8vb19GAGMsWI,vv1A8vb19GAGMsWI,25.0,01952,yes
T50-vv1A8v9-aGAuMNVy,vv1A8v9-aGAuMNVy,39.5,02116,yes
T51-G5vVZp7T4L76d,G5vVZp7T4L76d,30.0,06492,yes
T52-vv168vb8O1eZ75Gaa,vv168vb8O1eZ75Gaa,35.0,02116,yes
T54-vvG17Z4lDPhkAL,vvG17Z4lDPhkAL,47.0,02116,yes
T55-vv177Z4UGkY_0nQh,vv177Z4UGkY_0nQh,30.0,02215,yes
T56-vv168vb3obOZ755FF,vv168vb3obOZ755FF,20.0,02116,yes
T57-vv1AvZAqMGkdj70Ka,vv1AvZAqMGkdj70Ka,25.0,02865,yes
T60-G5vVZpdwIJSeT,G5vVZpdwIJSeT,19.0,06382,yes
T61-G5vVZ4SDZsx7q,G5vVZ4SDZsx7q,35.0,06492,yes
T62-G5vVZp7Rmr7x5,G5vVZp7Rmr7x5,61.0,06355,yes
T63-G5vVZ4UTv5dcd,G5vVZ4UTv5dcd,55.0,06355,yes
T64-vv177Z4UGkBnu7gz,vv177Z4UGkBnu7gz,19.0,03842,yes
T67-vv1AvZA-kGkdP_FyU,vv1AvZA-kGkdP_FyU,38.25,02108,yes
T68-vv1A8vbuOGA5Qcsj,vv1A8vbuOGA5Qcsj,25.0,02210,yes
T69-vv177Z4UGkMiGMxu,vv177Z4UGkMiGMxu,32.0,02114,yes
T71-vv1AvZAq-Gkd78ph8,vv1AvZAq-Gkd78ph8,45.0,04330,yes
T72-vv1AvZAq4Gkeyg74E,vv1AvZAq4Gkeyg74E,25.0,03842,yes
T75-vv117Z4zOF7ax7,vv117Z4zOF7ax7,39.0,02115,yes
T76-vv16vZA-K7fZA5u265,vv16vZA-K7fZA5u265,38.0,02215,yes
T77-vv177Z4SGkVxfM-X,vv177Z4SGkVxfM-X,50.0,02116,yes
T78-G5vVZpAb480Ir,G5vVZpAb480Ir,49.0,06355,yes
T80-vv1k7Z4MZ9G7VMD1,vv1k7Z4MZ9G7VMD1,25.0,03842,yes
T81-vv1AvZAqPGkdjwg6E,vv1AvZAqPGkdjwg6E,22.5,02114,yes
T82-vv1A8vbfSGACrcU4,vv1A8vbfSGACrcU4,30.0,02215,yes
T83-vv16vZAjIF4ZA81A2C,vv16vZAjIF4ZA81A2C,45.0,02116,yes
T84-vv168v98Na4Z7GAeA,vv168v98Na4Z7GAeA,32.0,02116,yes
T86-vv177Z4MGkmQmK6t,vv177Z4MGkmQmK6t,18.0,01901,yes
T87-Z7r9jZ1Aex3-9,Z7r9jZ1Aex3-9,100,02601,yes
T88-vv177ZpeGkXHeh5y,vv177ZpeGkXHeh5y,34.0,03842,yes
T90-Z7r9jZ1Ae0tq8,Z7r9jZ1Ae0tq8,100,02601,yes
T91-vv177Zp7GkmvmwlH,vv177Zp7GkmvmwlH,35.0,02115,yes
T92-vv1A8v9xZGAGhaPv,vv1A8v9xZGAGhaPv,37.0,02116,yes
T93-vv1AvZAqgGkdbZpcc,vv1AvZAqgGkdbZpcc,52.0,02116,yes
T95-vv1AvZArvGkdy2VIq,vv1AvZArvGkdy2VIq,42.0,02116,yes
T96-vv1avZArvZ0QZZe8A,vv1avZArvZ0QZZe8A,30.0,02116,yes
T97-vv177ZpAGkiwkuht,vv177ZpAGkiwkuht,34.0,02116,yes
T100-vv1a8v9xvPaj6v5,vv1a8v9xvPaj6v5,46.0,02116,yes
T101-vv177Z4zGklRMiL-,vv177Z4zGklRMiL-,19.0,02215,yes
T103-vv16vZAr8jZZAueCC5,vv16vZAr8jZZAueCC5,32.0,02116,yes
T105-vv1AvZAOgGke0JdbR,vv1AvZAOgGke0JdbR,45.0,02865,yes
T108-vv1k7Z4zF3G7mac-,vv1k7Z4zF3G7mac-,44.5,01915,yes
T109-G5vVZpdfKOfaW,G5vVZpdfKOfaW,30.0,06355,yes
T110-vv1AvZAqwGkdQCMOd,vv1AvZAqwGkdQCMOd,60.5,01915,yes
T112-vv177Z4zGkU43dmp,vv177Z4zGkU43dmp,32.5,02114,yes
T113-vv1AvZA-3Gkd5ZlJ2,vv1AvZA-3Gkd5ZlJ2,25.0,02215,yes
T114-Z7r9jZ1AePIAd,Z7r9jZ1AePIAd,100,02601,yes
T116-vv177Z4UGkMbik0-,vv177Z4UGkMbik0-,16.0,02215,yes
T117-vv177ZpeGknjJKmC,vv177ZpeGknjJKmC,19.0,03842,yes
T118-vv177Z4UGkBwA4oW,vv177Z4UGkBwA4oW,20.0,02134,yes
T120-G5vVZ4UXTGKIa,G5vVZ4UXTGKIa,25.0,06355,yes
T121-vv1AvZAr6Gkdqakov,vv1AvZAr6Gkdqakov,30.0,02865,yes
T122-vv1AvZAOsGkdvaS_b,vv1AvZAOsGkdvaS_b,35.0,02116,yes
T126-vv177Z4zGky2iQPS,vv177Z4zGky2iQPS,16.0,02215,yes
T128-vv1AvZAOYGkdFE4Cg,vv1AvZAOYGkdFE4Cg,25.0,02210,yes
T131-vv1A8vb4kGA5uxZD,vv1A8vb4kGA5uxZD,25.0,03842,yes
T132-vv1AvZAOEGkdUHpTo,vv1AvZAOEGkdUHpTo,30.0,02116,yes
T133-vv177Z4SGkBWnNL8,vv177Z4SGkBWnNL8,25.0,02215,yes
T134-vv177Z4UGkX7VeYj,vv177Z4UGkX7VeYj,32.0,02116,yes
T136-vv177ZpeGkVc-ZIh,vv177ZpeGkVc-ZIh,49.0,02116,yes
T137-vv1k7Z4UPPG7ysxB,vv1k7Z4UPPG7ysxB,47.0,01901,yes
T138-vv1AvZAONGkdBVpca,vv1AvZAONGkdBVpca,29.5,01915,yes
T139-vv177ZpdGkMwQaNT,vv177ZpdGkMwQaNT,19.99,02215,yes
T140-vvG17Z4lhCkFSs,vvG17Z4lhCkFSs,25.0,02215,yes
T141-vv177ZpeGkYuLgrT,vv177ZpeGkYuLgrT,30.0,02116,yes
T143-vv1A8v9qaGAGGdE_,vv1A8v9qaGAGGdE_,20.0,02865,yes
T144-vv1k7Zpd0bG7ib6h,vv1k7Zpd0bG7ib6h,36.0,02116,yes
T146-vv1k7ZpA1_G7T_XX,vv1k7ZpA1_G7T_XX,27.0,01901,yes
T147-vv1AvZAq3GkdjVjjj,vv1AvZAq3GkdjVjjj,39.5,01915,yes
T149-vv177Zp7GkSOGati,vv177Zp7GkSOGati,27.0,02215,yes
T151-vv177Zp7GkBuO7ql,vv177Zp7GkBuO7ql,24.5,02114,yes
T152-vv1A8vb3oGA591iD,vv1A8vb3oGA591iD,39.0,02115,yes
T153-vv177Z4zGknAkejW,vv177Z4zGknAkejW,30.0,02116,yes
T156-vv168vbueOsZ757G2,vv168vbueOsZ757G2,50.0,02116,yes
T158-vv1A8v90_GA1PNnd,vv1A8v90_GA1PNnd,29.5,02114,yes
T160-vv177ZpeGkiQgbKE,vv177ZpeGkiQgbKE,37.0,02116,yes
T161-Z7r9jZ1AeOy-s,Z7r9jZ1AeOy-s,100,01608,yes
T162-vv177ZpeGkXXeluy,vv177ZpeGkXXeluy,19.0,03842,yes
T164-Z7r9jZ1AeP44k,Z7r9jZ1AeP44k,100,02116,yes
T165-G5vVZpAngMVrz,G5vVZpAngMVrz,35.0,06382,yes
T166-Z7r9jZ1AexfoS,Z7r9jZ1AexfoS,100,01608,yes
T167-vv177Zp7GkyZmcY8,vv177Zp7GkyZmcY8,32.0,02116,yes
T168-vv1A8v9GkGAC2szo,vv1A8v9GkGAC2szo,35.0,02115,yes
T169-vv1AvZAqKGkdAUgLD,vv1AvZAqKGkdAUgLD,15.0,01952,yes
T173-Z7r9jZ1Aexe40,Z7r9jZ1Aexe40,100,02114,yes
T174-Z7r9jZ1AeOJ3v,Z7r9jZ1AeOJ3v,100,02210,yes
T175-vv177Z4zGkSz-hlS,vv177Z4zGkSz-hlS,20.0,02215,yes
T176-vv1AvZA--GkdXeB2Q,vv1AvZA--GkdXeB2Q,34.5,01915,yes
T177-vv1A8vb4YGA2Ttpc,vv1A8vb4YGA2Ttpc,35.0,02215,yes
T178-vv1AvZA-bGkd8Q6r2,vv1AvZA-bGkd8Q6r2,35.0,01952,yes
T179-vv1A8v9xdGA1TzEN,vv1A8v9xdGA1TzEN,35.0,02116,yes
T180-vv177Zp7GkBOrJ2V,vv177Zp7GkBOrJ2V,30.0,03842,yes
T181-vv1k7Z4tZeG7lnDp,vv1k7Z4tZeG7lnDp,90.0,02568,yes
T182-vv1A8vbbxGA12cvE,vv1A8vbbxGA12cvE,29.5,02114,yes
T183-Z7r9jZ1Ae0-OY,Z7r9jZ1Ae0-OY,100,02139,yes
T184-Z7r9jZ1Aex3-4,Z7r9jZ1Aex3-4,100,02601,yes
T185-vv1AvZAONGkdTikgr,vv1AvZAONGkdTikgr,24.5,01915,yes
T188-Z7r9jZ1Aexfqp,Z7r9jZ1Aexfqp,100,02138,yes
T189-Z7r9jZ1Ae-Ivx,Z7r9jZ1Ae-Ivx,100,02114,yes
T190-vv1k7Z4M7wG7RyfK,vv1k7Z4M7wG7RyfK,35.0,02116,yes
T191-Z7r9jZ1AerauM,Z7r9jZ1AerauM,100,02138,yes
T193-vv168v978C4Z7u5Ca,vv168v978C4Z7u5Ca,27.0,02115,yes
T194-vv177ZpeGkR0_kN6,vv177ZpeGkR0_kN6,25.0,01952,yes
T195-vv16vZArFowZA51d6v,vv16vZArFowZA51d6v,32.0,02116,yes
T196-vv1AvZA-kGkeUxJsF,vv1AvZA-kGkeUxJsF,47.0,01901,yes
T198-vv177ZpdGksj6oP1,vv177ZpdGksj6oP1,37.0,01901,yes
T200-vv1A8v9-tGA2DVbh,vv1A8v9-tGA2DVbh,25.0,04330,yes
