Eid,title,e_image,seatmap
Z7r9jZ1AeJeAb,To Kill a Mockingbird,https://s1.ticketm.net/dam/c/07d/fda8c807-42eb-4b81-9f16-f3a8367e107d_106371_RETINA_PORTRAIT_3_2.jpg,http://resale.ticketmaster.com.au/akamai-content/maps/3097-1-1-main.gif
vv1AvZAqoGkenSzra,Sesame Street Live Let s Party,https://s1.ticketm.net/dam/a/47b/72d40522-e99b-4a4a-89c3-18b30feca47b_1070091_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/01005751AACF8789/staticImage?type=png&systemId=HOST
vv1AvZA-gGkd6sosx,Celtic Thunder Ireland,https://s1.ticketm.net/dam/a/560/2d49177d-de9b-4400-aec4-eb5fda228560_1318721_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/01005875C7C51C62/staticImage?type=png&systemId=HOST
vv1AvZAqPGkeD7KSq,Bikini Kill,https://s1.ticketm.net/dam/a/d57/64e0ce48-093d-4fe0-ac17-0d86079dad57_1200401_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/01005765BB113CDD/staticImage?type=png&systemId=HOST
vv177ZpdGkXV3U0v,Michael Franti Spearhead,https://s1.ticketm.net/dam/a/cc9/66b7f7ec-52d9-49b5-aff0-166538af8cc9_1279231_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0100583FB44B6901/staticImage?type=png&systemId=HOST
G5vVZpkKtD7mu,Michael Bolton,https://s1.ticketm.net/dam/a/2d3/bafc0981-ee02-4dcb-8a5a-ef351a49e2d3_1073801_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/1D005864E9EC4B8D/staticImage?type=png&systemId=HOST
vv1k7ZpkfeG7IQcl,Ronny Chieng The Hope You Get Rich Tour,https://s1.ticketm.net/dam/a/720/5ac07846-0cf4-42fa-8db6-6ace86f97720_1302601_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0100586502A1AB6B/staticImage?type=png&systemId=HOST
vv1AvZAqIGkd8CEPc,Ali Wong The Milk Money Tour,https://s1.ticketm.net/dam/a/824/700e9994-1f9a-42fe-8b23-414c186e1824_1271541_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/01005768D03A796D/staticImage?type=png&systemId=HOST
vv1A8v98-GAGfn-0,Brad Williams,https://s1.ticketm.net/dam/a/db7/bc0c5f9a-8046-4e17-8b65-0d2f58a66db7_349681_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/010057421C52A864/staticImage?type=png&systemId=HOST
vv1AvZA-kGkdu9I6a,20 Years Before the Mast The Decemberists 20th Anniversary Tour,https://s1.ticketm.net/dam/a/d84/742c3ae2-b129-4ba5-b027-4040e4a78d84_1281751_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/01005846CD5E81C9/staticImage?type=png&systemId=HOST
