Lid,longitude,latitude,address,zipcode
ZFr9jZ7v1F-1,-71.064697,42.358101,Massachusetts/Boston/539 Washington Street/time_zone:America/New_York,02108
KovZpZAFd1nA-11,-71.1176226,42.3514544,Massachusetts/Boston/925 Commonwealth Ave/time_zone:America/New_York,02215
KovZpZAJd6aA-15,-71.109255,42.419637,Massachusetts/Medford/30 Forest Street/time_zone:America/New_York,02115
KovZpZAJd6FA-16,-71.0652677,42.3499769,Massachusetts/Boston/270 Tremont Street/time_zone:America/New_York,02116
KovZpZAEAdIA-17,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
KovZpZA6taIA-18,-72.0914563,41.4915974,Connecticut/Uncasville/1 Mohegan Sun Blvd/time_zone:America/New_York,06382
KovZpZAEAIvA-19,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAJd6FA-20,-71.0652677,42.3499769,Massachusetts/Boston/270 Tremont Street/time_zone:America/New_York,02116
KovZpZAEAIvA-21,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAJd6FA-22,-71.0652677,42.3499769,Massachusetts/Boston/270 Tremont Street/time_zone:America/New_York,02116
KovZpZAEAdEA-23,-71.03587836,42.34851323,Massachusetts/Boston/290 Northern Ave/time_zone:America/New_York,02210
KovZpZAE6e6A-26,-71.9630872,41.4783608,Connecticut/Mashantucket/39 Norwich Westerly Road/time_zone:America/New_York,06355
KovZpZAJd6aA-28,-71.109255,42.419637,Massachusetts/Medford/30 Forest Street/time_zone:America/New_York,02115
KovZpZAFd1nA-29,-71.1176226,42.3514544,Massachusetts/Boston/925 Commonwealth Ave/time_zone:America/New_York,02215
KovZpZAEAdIA-30,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
KovZpZAEA7eA-31,-71.0957036,42.3471841,Massachusetts/Boston/15 Lansdowne St./time_zone:America/New_York,02215
KovZpapwne-32,-71.1326128,42.3528999,Massachusetts/Boston/158 Brighton Avenue/time_zone:America/New_York,02134
KovZpZAEAdIA-34,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
KovZpZAEA7eA-35,-71.0957036,42.3471841,Massachusetts/Boston/15 Lansdowne St./time_zone:America/New_York,02215
KovZpZAE7v6A-36,-71.437762,41.892518,Rhode Island/Lincoln/100 Twin River Rd/time_zone:America/New_York,02865
KovZpZAEA7eA-38,-71.0957036,42.3471841,Massachusetts/Boston/15 Lansdowne St./time_zone:America/New_York,02215
KovZpZAEAdIA-39,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
