time_serial,date_YMD
lz1-Z7r9jZ1AeJeAb,2021-01-14
lz11-vv1AvZAqoGkenSzra,2020-04-24
lz15-vv1AvZA-gGkd6sosx,2020-12-11
lz16-vv1AvZAqPGkeD7KSq,2020-11-23
lz17-vv177ZpdGkXV3U0v,2020-08-21
lz18-G5vVZpkKtD7mu,2020-06-18
lz19-vv1k7ZpkfeG7IQcl,2020-09-19
lz20-vv1AvZAqIGkd8CEPc,2020-10-10
lz21-vv1A8v98-GAGfn-0,2020-06-13
lz22-vv1AvZA-kGkdu9I6a,2020-08-19
lz23-vv1k7ZpA_sG7M38n,2020-09-12
lz26-G5vVZpALYl0Qm,2020-11-06
lz28-vv1A8v9GkGAG4oU3,2020-10-17
lz29-vv1AvZAOzGkd21bE-,2020-09-25
lz30-vv177ZpeGkSywfa8,2020-06-25
lz31-vv177Z4MGkzFhITf,2020-09-17
lz32-vv1AvZA-PGkdn5Qk_,2020-06-11
lz34-vv177ZpAGktxEo0J,2020-08-20
lz35-vv177Z4UGkMHjz1i,2020-06-12
lz36-vv117ZpAQ7-KAp,2020-08-22
lz38-vv1AvZAr7GkdFxPTE,2021-05-28
lz39-vv168vb_7vtZ72dad,2020-07-11
lz40-vv1AvZAqPGkdBWJEv,2020-06-06
lz41-vv177Z4zGkDpvghX,2020-05-30
lz42-vv177Z4UGkRlZIt4,2020-09-19
lz43-vv1AvZArdGkdvL4OR,2020-07-03
lz44-vv1A8v9b-GACPM7c,2020-05-23
lz45-vv1k7Z4gZbG7TD_s,2020-08-08
lz46-vv16vZArv7SZACaa28,2020-09-25
lz47-vv1AvZAOYGkduLPpP,2020-10-01
lz48-vv177Z40GkMov4mn,2021-06-12
lz49-vv1A8vb19GAGMsWI,2020-09-03
lz50-vv1A8v9-aGAuMNVy,2020-07-18
lz51-G5vVZp7T4L76d,2020-06-20
lz52-vv168vb8O1eZ75Gaa,2021-06-05
lz54-vvG17Z4lDPhkAL,2020-09-16
lz55-vv177Z4UGkY_0nQh,2020-12-07
lz56-vv168vb3obOZ755FF,2020-10-24
lz57-vv1AvZAqMGkdj70Ka,2020-07-30
lz60-G5vVZpdwIJSeT,2020-11-01
lz61-G5vVZ4SDZsx7q,2021-03-27
lz62-G5vVZp7Rmr7x5,2020-06-21
lz63-G5vVZ4UTv5dcd,2020-06-06
lz64-vv177Z4UGkBnu7gz,2020-06-06
lz67-vv1AvZA-kGkdP_FyU,2020-09-28
lz68-vv1A8vbuOGA5Qcsj,2020-09-13
lz69-vv177Z4UGkMiGMxu,2020-08-06
lz71-vv1AvZAq-Gkd78ph8,2020-10-31
lz72-vv1AvZAq4Gkeyg74E,2020-09-05
lz75-vv117Z4zOF7ax7,2020-10-03
lz76-vv16vZA-K7fZA5u265,2020-06-04
lz77-vv177Z4SGkVxfM-X,2020-07-10
lz78-G5vVZpAb480Ir,2020-05-24
lz80-vv1k7Z4MZ9G7VMD1,2020-06-27
lz81-vv1AvZAqPGkdjwg6E,2020-06-26
lz82-vv1A8vbfSGACrcU4,2020-06-06
lz83-vv16vZAjIF4ZA81A2C,2021-04-10
lz84-vv168v98Na4Z7GAeA,2020-07-25
lz86-vv177Z4MGkmQmK6t,2021-05-23
lz87-Z7r9jZ1Aex3-9,2020-07-17
lz88-vv177ZpeGkXHeh5y,2020-10-09
lz90-Z7r9jZ1Ae0tq8,2020-08-14
lz91-vv177Zp7GkmvmwlH,2020-11-05
lz92-vv1A8v9xZGAGhaPv,2020-08-21
lz93-vv1AvZAqgGkdbZpcc,2020-09-03
lz95-vv1AvZArvGkdy2VIq,2020-08-01
lz96-vv1avZArvZ0QZZe8A,2020-11-03
lz97-vv177ZpAGkiwkuht,2020-05-26
lz100-vv1a8v9xvPaj6v5,2020-10-22
lz101-vv177Z4zGklRMiL-,2020-05-07
lz103-vv16vZAr8jZZAueCC5,2020-09-26
lz105-vv1AvZAOgGke0JdbR,2021-03-27
lz108-vv1k7Z4zF3G7mac-,2020-10-03
lz109-G5vVZpdfKOfaW,2020-07-10
lz110-vv1AvZAqwGkdQCMOd,2020-06-14
lz112-vv177Z4zGkU43dmp,2020-11-16
lz113-vv1AvZA-3Gkd5ZlJ2,2020-06-20
lz114-Z7r9jZ1AePIAd,2020-08-15
lz116-vv177Z4UGkMbik0-,2020-07-09
lz117-vv177ZpeGknjJKmC,2020-06-20
lz118-vv177Z4UGkBwA4oW,2020-09-20
lz120-G5vVZ4UXTGKIa,2020-10-16
lz121-vv1AvZAr6Gkdqakov,2020-08-07
lz122-vv1AvZAOsGkdvaS_b,2020-07-18
lz126-vv177Z4zGky2iQPS,2020-05-20
lz128-vv1AvZAOYGkdFE4Cg,2020-09-11
lz131-vv1A8vb4kGA5uxZD,2020-09-18
lz132-vv1AvZAOEGkdUHpTo,2020-10-23
lz133-vv177Z4SGkBWnNL8,2020-07-10
lz134-vv177Z4UGkX7VeYj,2020-11-05
lz136-vv177ZpeGkVc-ZIh,2020-09-04
lz137-vv1k7Z4UPPG7ysxB,2020-12-17
lz138-vv1AvZAONGkdBVpca,2020-09-18
lz139-vv177ZpdGkMwQaNT,2020-04-22
lz140-vvG17Z4lhCkFSs,2020-09-04
lz141-vv177ZpeGkYuLgrT,2020-10-28
lz143-vv1A8v9qaGAGGdE_,2020-10-23
lz144-vv1k7Zpd0bG7ib6h,2020-05-09
lz146-vv1k7ZpA1_G7T_XX,2020-05-02
lz147-vv1AvZAq3GkdjVjjj,2021-04-03
lz149-vv177Zp7GkSOGati,2020-05-16
lz151-vv177Zp7GkBuO7ql,2020-05-30
lz152-vv1A8vb3oGA591iD,2020-09-13
lz153-vv177Z4zGknAkejW,2020-07-17
lz156-vv168vbueOsZ757G2,2020-07-14
lz158-vv1A8v90_GA1PNnd,2020-09-12
lz160-vv177ZpeGkiQgbKE,2020-06-23
lz161-Z7r9jZ1AeOy-s,2020-08-21
lz162-vv177ZpeGkXXeluy,2020-07-10
lz164-Z7r9jZ1AeP44k,2020-12-01
lz165-G5vVZpAngMVrz,2020-09-02
lz166-Z7r9jZ1AexfoS,2020-09-07
lz167-vv177Zp7GkyZmcY8,2020-05-30
lz168-vv1A8v9GkGAC2szo,2020-09-11
lz169-vv1AvZAqKGkdAUgLD,2020-05-30
lz173-Z7r9jZ1Aexe40,2020-08-14
