Aid,artist_name,info
K8vZ91716g7la1,The Flaming Lips,https://www.youtube.com/user/flaminglips
K8vZ917G1Cfla2,Jim Jefferies,{'id': '9d646abc-e5f7-4c98-bee8-d07ef34f4a1e'}
K8vZ917ogXVla3,The Frights,https://www.facebook.com/TheFrightsband
K8vZ917Cf37la4,Andrew Schulz,Let google for it together
K8vZ917GkuVla5,Eckhart Tolle,Let google for it together
K8vZ91759_Vla8,Ramon Ayala,https://en.wikipedia.org/wiki/Ram%C3%B3n_Ayala
K8vZ9179Xd0la9,Club 90s,Let google for it together
K8vZ917p4C7la10,Neha Kakkar,Let google for it together
K8vZ9173hY0la11,Hatsune Miku,Let google for it together
K8vZ9171C-fla12,Kansas,https://www.youtube.com/user/kansasVEVO
K8vZ9171FqVla13,Adam Ant,https://www.youtube.com/user/AdamAntVEVO
K8vZ9171zsfla14,Laughter and Reflection with Carol Burnett,Let google for it together
K8vZ9179Z37la15,Hyukoh,Let google for it together
K8vZ91746Ofla16,Frankie Valli and the Four Seasons on Broadway!,Let google for it together
K8vZ917Klsfla17,Dread Mar I,Let google for it together
K8vZ9178xmfla18,Fit for a King,{'id': '6eaab7b4-f2cb-4c80-9b36-7e7d5c2fa8c5'}
K8vZ917Gx10la19,The Tallest Man On Earth,Let google for it together
K8vZ91780o0la20,Nick Cave & the Bad Seeds,Let google for it together
K8vZ917KB40la21,Violet Chachki,Let google for it together
K8vZ9171qsfla23,1776,Let google for it together
K8vZ917K5F0la24,Big Thief,https://www.facebook.com/bigthiefmusic
K8vZ917G-K7la25,Four Tet,https://twitter.com/FourTet
K8vZ9173Pt0la26,Bruno Major,https://www.youtube.com/user/MrBrunoMajor
K8vZ917uW77la27,The Motels,https://en.wikipedia.org/wiki/The_Motels
K8vZ917bMhVla28,Island Empire Festival,Let google for it together
K8vZ9171G10la29,OG Kid Frost,Let google for it together
K8vZ917oAtVla30,The Stylistics,https://en.wikipedia.org/wiki/The_Stylistics
K8vZ9171ms7la31,The Australian Pink Floyd Show,http://www.last.fm/music/The%20Australian%20Pink%20Floyd%20Show
K8vZ917GqEVla32,Ferry Corsten,https://www.youtube.com/user/ferrycorstenofficial
K8vZ9175Ohfla33,Teo Gonzalez,Let google for it together
K8vZ917Klsfla35,Dread Mar I,Let google for it together
K8vZ9179yi0la36,I_O,Let google for it together
K8vZ9171iK0la37,David Sedaris,Let google for it together
K8vZ9174Vl0la38,Sofía Niño de Rivera,Let google for it together
K8vZ9171Fi7la39,Hoodoo Gurus,https://www.youtube.com/user/HoodooGurusVEVO
K8vZ9179WE0la40,Esperanza Flores,Let google for it together
K8vZ9172LdVla41,Dita Von Teese,{'id': '86dc7431-cfe3-4deb-ab82-d9e72b84750f'}
K8vZ917p_F0la42,lovelytheband,https://twitter.com/lovelytheband
K8vZ917GN5fla43,Best Coast,https://www.youtube.com/user/bestcoast
K8vZ9171Ud7la44,Paul van Dyk,Let google for it together
K8vZ9171uAfla45,Boz Scaggs,https://twitter.com/bozscaggs
K8vZ91719RVla47,Sebastian Bach,https://twitter.com/sebastianbach
K8vZ91712iVla48,Scandal,https://www.youtube.com/channel/UCjuylCxDTohJPQ3KHyFyR-w
K8vZ917K_tVla49,Car Seat Headrest,https://itunes.apple.com/gb/artist/id725086732
K8vZ9171fIfla50,Sinbad,Let google for it together
K8vZ9171jSfla51,Mariachi Sol De Mexico,Let google for it together
K8vZ9171Qvfla53,Los Amigos Invisibles,https://twitter.com/AmgsInvisibles
K8vZ917oZl0la54,Wardruna,Let google for it together
K8vZ9175GDVla56,Gogol Bordello,https://www.youtube.com/user/GogolBordello
K8vZ9175Jy0la57,Yundi Li,Let google for it together
K8vZ9171GZfla58,Tower of Power,https://twitter.com/top
K8vZ917bMj7la59,Elton The Early Years - 50th Anniversary of Elton John with Tumbleweed,Let google for it together
K8vZ9171BQ0la60,Bunbury,https://en.wikipedia.org/wiki/Enrique_Bunbury
K8vZ9171_VVla61,(Hed) P.E.,Let google for it together
K8vZ9171xS7la63,Macbeth,Let google for it together
Z7r9jZa25nla67,Cruel World Festival,Let google for it together
K8vZ917KQn7la68,La Septima Banda,{'id': 'd760a37d-7514-4b47-b5a5-2ec87352ef06'}
K8vZ9174QgVla69,The Dirty Knobs,{'id': 'ef94d509-9448-4ed0-9912-93158f51aa9e'}
K8vZ91715cfla72,Djavan,https://www.youtube.com/user/DjavanOficial
K8vZ91733JVla73,Azizi Gibson,{'id': '95d09bdc-d281-43fe-ba50-83ccb84afb02'}
Z7r9jZauJgla74,Oingo Boingo Former Members,Let google for it together
K8vZ9179oqVla75,Flora Cash,Let google for it together
K8vZ917fYpfla76,PAW Patrol Live!: Race to the Rescue,Let google for it together
K8vZ917bkIVla79,Goth Babe,Let google for it together
K8vZ91731gVla80,Hotel California - A Salute to The Eagles,Let google for it together
K8vZ917GF97la81,Jason Isbell,https://twitter.com/JasonIsbell
Z7r9jZa25dla82,King James,Let google for it together
K8vZ9171oYfla83,Annie Get Your Gun,Let google for it together
K8vZ9173Fd7la86,Pageant of the Masters,Let google for it together
K8vZ9175LA7la87,Baby Bash,https://en.wikipedia.org/wiki/Baby_Bash
K8vZ917CPHfla88,Tyler Farr,https://twitter.com/tylerfarr
K8vZ9175TfVla89,Il Trovatore,Let google for it together
K8vZ917bRe7la90,Kate Del Castillo,Let google for it together
K8vZ9171uaVla91,Amy Grant,https://www.youtube.com/user/officialamygrant
K8vZ9171G_fla92,Napalm Death,https://www.youtube.com/user/maxnapalmdeath
