Eid,title,e_image,seatmap
vv16aZAr6AaZA86Fee,89 9 KCRW Presents The Flaming Lips,https://s1.ticketm.net/dam/a/94b/3a6818c2-17bf-47e7-b6b4-76ed6d2be94b_780911_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/09005787149F6711/staticImage?type=png&systemId=HOST
vvG1iZ4gUsesPj,AEG presents Jim Jefferies Oblivious,https://s1.ticketm.net/dam/a/2fc/1ea04932-4cde-4ce7-be38-df74c21cf2fc_1204381_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0B00575DB10B195C/staticImage?type=png&systemId=HOST
vv170ZpeGkl5u77h,KROQ Locals Only Presents The Frights,https://s1.ticketm.net/dam/a/f51/46c8404a-6302-488c-be11-175db14dcf51_1267421_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0900582ACB34411B/staticImage?type=png&systemId=HOST
vv1ke8v9P_GA1Qxqo,Andrew Schulz Matador,https://s1.ticketm.net/dam/a/3e7/0f839130-4de7-49ce-9da6-ba72b9a0f3e7_1236021_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/090057959A6A2751/staticImage?type=png&systemId=HOST
Z7r9jZ1AejdvP,Eckhart Tolle,https://s1.ticketm.net/dam/a/5de/42f9f225-cd13-408b-976c-e8d6f74a45de_826251_RETINA_PORTRAIT_3_2.jpg,http://resale.ticketmaster.com.au/akamai-content/maps/1544-1-1-main2.gif
vvG1iZp7bKOkki,Ramon Ayala Enigma Norteno,https://s1.ticketm.net/dam/a/e2e/58188e19-a386-478f-a474-d9641e05be2e_1199161_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0B005846138061AC/staticImage?type=png&systemId=HOST
vv1AaZA-_GkdTTUVW,Midnight Memories 1D Night LA,https://s1.ticketm.net/dam/a/08f/dfb74e4a-95f6-46fd-bdb0-c699706e708f_1011401_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/09005859FFFF6D3D/staticImage?type=png&systemId=HOST
vvG1iZ4zSNmVvn,Neha Kakkar,https://s1.ticketm.net/dam/a/2d5/7563be06-aadd-4618-a61a-bdf2ec1832d5_1270871_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0B00578CE3BB406A/staticImage?type=png&systemId=HOST
Z7r9jZ1Ae0xaw,Hatsune Miku,https://s1.ticketm.net/dam/a/73b/3bd1361f-c546-43a6-990f-505237dd773b_1229211_RETINA_PORTRAIT_3_2.jpg,http://resale.ticketmaster.com.au/akamai-content/maps/1544-1-1-main2.gif
vvG1iZ4ImlwSu4,CAP NEDERLANDER present KANSAS Point of Know Return Tour,https://s1.ticketm.net/dam/a/cfa/1bdba5c8-28b6-4c85-8988-09588b70ecfa_1305071_RETINA_PORTRAIT_3_2.jpg,https://maps.ticketmaster.com/maps/geometry/3/event/0B00568BABCB3355/staticImage?type=png&systemId=HOST
