Eid,concert_type
vv16aZAr6AaZA86Fee,genre:Rock|subgenre:Alternative Rock
vv170ZpeGkl5u77h,genre:Rock|subgenre:Punk
vvG1iZp7bKOkki,genre:Latin|subgenre:Latin
vv1AaZA-_GkdTTUVW,genre:Pop|subgenre:Pop
vvG1iZ4zSNmVvn,genre:World|subgenre:World
Z7r9jZ1Ae0xaw,genre:Pop|subgenre:Pop Rock
vvG1iZ4ImlwSu4,genre:Rock|subgenre:Pop
Z7r9jZ1AeO6a_,genre:Pop|subgenre:Pop Rock
vv170Z4UGkmJvAnQ,genre:Rock|subgenre:Pop
vvG1iZ4gMkJozQ,genre:Rock|subgenre:Oldies & Classics
vv1AaZA-6GkdP79PV,genre:Reggae|subgenre:Reggae
Z7r9jZ1Ae-V3A,genre:Rock|subgenre:Hard Rock
Z7r9jZ1AeOwGz,genre:Other|subgenre:Other
Z7r9jZ1AePoaS,genre:Alternative|subgenre:Alternative Rock
vv170ZpdGkSLVga9,genre:Rock|subgenre:Pop
vv16aZA-potZA8F28k,genre:Rock|subgenre:Pop
Z7r9jZ1Ae-J3v,genre:Other|subgenre:Other
vv1AaZAq4GkdnIgUo,genre:Rock|subgenre:Pop
vvG1iZpk3ieJJF,genre:Undefined|subgenre:Undefined
vv1AaZA-0GkdyS6aq,genre:Hip-Hop/Rap|subgenre:French Rap
vvG1iZpeDLadBc,genre:R&B|subgenre:Soul
vv170ZpdGkmy7dit,genre:Rock|subgenre:Pop
vv1ke8vbfsGAu8ku6,genre:Dance/Electronic|subgenre:Witchstep
vv1AaZA-kGkdwXpTY,genre:Reggae|subgenre:Reggae
vv1k0ZpAG9G7VJae,genre:Dance/Electronic|subgenre:Witchstep
Z7r9jZ1Aex7jx,genre:Other|subgenre:Other
vv1k0Zp77FG7l0WL,genre:Rock|subgenre:Pop
vv1AaZAq-GkdsXAUp,genre:Rock|subgenre:Pop
vv170Zp7Gkn2wSe5,genre:Dance/Electronic|subgenre:Witchstep
vv1AaZA-KGkdzZgmS,genre:Rock|subgenre:Pop
Z7r9jZ1AexvAO,genre:Other|subgenre:Other
vv170ZpdGkz-9U--,genre:Rock|subgenre:Pop
vv1AaZA-bGkdjuJNL,genre:Rock|subgenre:Alternative Rock
vvG1iZ4MKDUwP7,genre:Latin|subgenre:Latin
vv1AaZAqwGkdkFgBW,genre:Rock|subgenre:Alternative Rock
vv1AaZA-kGkdrek-B,genre:World|subgenre:World
vv1AaZA-oGkdQK0X2,genre:Rock|subgenre:Alternative Rock
vvG1IZ4gdcN7_D,genre:R&B|subgenre:R&B
vvG1iZ4MJtHoBR,genre:Rock|subgenre:Pop
vv1AaZA--GketS3wP,genre:Latin|subgenre:Latin
Z7r9jZ1Ae-d4t,genre:Rock|subgenre:Hard Rock
Z7r9jZ1AePk_F,genre:Other|subgenre:Other
vv1aaZAOV0JjpZeGF,genre:Latin|subgenre:Latin
Z7r9jZ1Ae04q_,genre:Other|subgenre:Other
vv1AaZAOsGkewseWG,genre:R&B|subgenre:R&B
vv1AaZA-7GkdTJp1Q,genre:Hip-Hop/Rap|subgenre:French Rap
Z7r9jZ1AexAoO,genre:Other|subgenre:Other
Z7r9jZ1Ae-VZ6,genre:Other|subgenre:Other
Z7r9jZ1AexfrK,genre:Other|subgenre:Other
vvG1iZpdxKAS5g,genre:Undefined|subgenre:Undefined
Z7r9jZ1Ae0UGy,genre:Country|subgenre:Country Folk
vv1AaZA-0GkdzrMF8,genre:R&B|subgenre:R&B
vv1k0Zpd0OG7mkgt,genre:Country|subgenre:Country
vvG1iZ4zMRWPFD,genre:Rock|subgenre:Pop
vv1ke8vbCfGA25EpL,genre:Metal|subgenre:Nu-Metal
Z7r9jZ1Ae0k4S,genre:Other|subgenre:Other
Z7r9jZ1AexZZF,genre:Rock|subgenre:Rock & Roll
vv170ZpdGkTQKUzX,genre:Rock|subgenre:Alternative Rock
Z7r9jZ1AeOYFt,genre:Other|subgenre:Other
Z7r9jZ1AePIut,genre:Other|subgenre:Other
vvG1iZperQkswr,genre:Rock|subgenre:Alternative Rock
vvG1iZ4YkCnvs6,genre:Rock|subgenre:Pop
vvG1iZpkQcw0n7,genre:Rock|subgenre:Alternative Rock
Z7r9jZ1AexZ7s,genre:Rock|subgenre:Hard Rock
vv170Z4yGknibeik,genre:Country|subgenre:Country
vv1AaZA-bGkdEAUne,genre:Blues|subgenre:Blues
vv1AaZAOsGkdP409Q,genre:Rock|subgenre:Alternative Rock
vvG1iZpdeBvKJl,genre:Rock|subgenre:Oldies & Classics
vv1AaZAOJGkdYlSTf,genre:Dance/Electronic|subgenre:Witchstep
Z7r9jZ1Ae-su9,genre:Pop|subgenre:Pop Rock
Z7r9jZ1Aexa0b,genre:Other|subgenre:Other
Z7r9jZ1Ae06_N,genre:Other|subgenre:Other
vv1ke8vbo_GA1Bd5c,genre:Rock|subgenre:Pop
vv1AaZArfGkdC14P7,genre:Blues|subgenre:Blues
vvG1iZpdM4C0xJ,genre:Rock|subgenre:Pop
vvG1iZpAJSTV0b,genre:Undefined|subgenre:Undefined
vv1ke8vb38GAuQ71C,genre:Rock|subgenre:Pop
vv170Zp7GkBPi0OV,genre:Reggae|subgenre:Reggae
Z7r9jZ1AexZx7,genre:Other|subgenre:Other
vv1AaZA-_GkdpoPU1,genre:Rock|subgenre:Pop
vvG1iZpdxKOdGx,genre:Rock|subgenre:Pop
vvG1iZp7Tg2fVl,genre:Undefined|subgenre:Undefined
Z7r9jZ1AeJ6bF,genre:Other|subgenre:Other
vv170ZpdGkSR64pr,genre:Rock|subgenre:Pop
vv170ZpAGkYuGEcu,genre:Pop|subgenre:Pop
vvG1iZ4ISwmVIJ,genre:Rock|subgenre:Pop
vv170Zp7GknrHdmt,genre:Rock|subgenre:Alternative Rock
vv170ZpdGkMlag63,genre:Rock|subgenre:Pop
vv1AaZAqJGkeltKCY,genre:R&B|subgenre:R&B
vv170Z4zGkMYJzGp,genre:Rock|subgenre:Pop
vv16aZAOsZvZACkAk6,genre:Rock|subgenre:Pop
Z7r9jZ1AeOzPN,genre:Blues|subgenre:Jazz Blues
vv1k0ZpA8dG7UJpo,genre:Pop|subgenre:Pop
vv1AaZA-kGkdGVkZ6,genre:Rock|subgenre:Alternative Rock
vvG1iZpAJUefJU,genre:Rock|subgenre:Pop
